session_id,lap_number,timestamp_iso,duration_s,avg_speed_mps,max_speed_mps,distance_m,controller,profile,latency_ms,odom_noise_std,lateral_error_rms,lateral_error_max,steering_rate_max,offtrack_events
2026-05-25T19-37-58,1,2026-05-25T19:41:19,190.500,3.426,5.847,652.59,stanley,default,0,0.0000,0.4730,4.7173,8.6369,6
2026-05-25T19-37-58,2,2026-05-25T19:44:40,189.600,3.443,5.860,652.74,stanley,default,0,0.0000,0.4153,4.7144,5.7287,2
2026-05-25T19-37-58,3,2026-05-25T19:47:54,189.500,3.444,5.845,652.71,stanley,default,0,0.0000,0.4717,4.7244,8.4771,5
