session_id,lap_number,timestamp_iso,duration_s,avg_speed_mps,max_speed_mps,distance_m,controller,profile,latency_ms,odom_noise_std,lateral_error_rms,lateral_error_max,steering_rate_max,offtrack_events
2026-06-10T11-49-42,1,2026-06-10T11:54:57,232.500,3.290,2.852,765.04,pure_pursuit_lidar,finetuned_perturbed_l200_n005,200,0.0500,0.0993,0.4710,0.6000,0
2026-06-10T11-49-42,2,2026-06-10T12:00:20,250.900,3.323,6.333,833.63,pure_pursuit_lidar,finetuned_perturbed_l200_n005,200,0.0500,0.3669,0.8263,0.6000,0
