session_id,lap_number,timestamp_iso,duration_s,avg_speed_mps,max_speed_mps,distance_m,controller,profile,latency_ms,odom_noise_std,lateral_error_rms,lateral_error_max,steering_rate_max,offtrack_events
2026-06-10T12-00-31,1,2026-06-10T12:06:07,248.000,4.444,2.750,1102.19,pure_pursuit_lidar,finetuned_perturbed_l200_n01,200,0.1000,0.1655,0.6146,0.6000,0
2026-06-10T12-00-31,2,2026-06-10T12:16:55,501.000,3.839,6.254,1923.37,pure_pursuit_lidar,finetuned_perturbed_l200_n01,200,0.1000,0.1433,0.6185,0.6000,0
