session_id,lap_number,timestamp_iso,duration_s,avg_speed_mps,max_speed_mps,distance_m
2026-05-25T13-48-10,1,2026-05-25T13:51:23,172.600,3.640,5.832,628.31
2026-05-25T13-48-10,2,2026-05-25T13:54:31,173.600,3.621,5.905,628.62
